Screening_Rate,HPV_Vaccination_Encoded,Region_Encoded,Year,Country,Actual_Mortality_Rate,Predicted_Mortality_Rate,Error,Error_Absolute
25.0,1,1,2015,China,49.1,56.704999999999984,-7.604999999999983,7.604999999999983
26.0,1,1,2024,India,65.0,59.958000000000055,5.041999999999945,5.041999999999945
18.0,1,1,2014,India,60.0,55.92899999999998,4.071000000000019,4.071000000000019
70.0,1,0,2014,Australia,32.0,35.764999999999965,-3.764999999999965,3.764999999999965
23.0,1,1,2018,India,60.8,59.786999999999935,1.013000000000062,1.013000000000062
69.0,1,0,2021,Germany,36.7,35.77166666666666,0.9283333333333417,0.9283333333333417
23.0,0,1,2023,Africa,72.6,71.74100000000006,0.8589999999999378,0.8589999999999378
66.0,1,0,2021,Europe,34.2,35.030166666666666,-0.8301666666666634,0.8301666666666634
71.0,1,0,2023,Germany,36.6,35.92699999999995,0.6730000000000516,0.6730000000000516
68.0,1,0,2023,Europe,34.0,34.6538333333333,-0.6538333333333028,0.6538333333333028
66.0,1,0,2021,France,34.4,35.030166666666666,-0.6301666666666677,0.6301666666666677
21.0,0,1,2021,Africa,71.6,70.98500000000007,0.6149999999999238,0.6149999999999238
31.0,1,1,2021,China,49.5,49.849999999999994,-0.3499999999999943,0.3499999999999943
82.0,1,0,2018,United States,31.4,31.684000000000033,-0.28400000000003445,0.28400000000003445
69.0,1,0,2024,France,34.1,34.306000000000026,-0.20600000000002439,0.20600000000002439
60.0,1,0,2014,Europe,35.5,35.6487761904762,-0.14877619047619817,0.14877619047619817
78.0,1,0,2014,United States,31.5,31.64799999999998,-0.14799999999997837,0.14799999999997837
26.0,1,0,2021,Japan,31.3,31.389000000000042,-0.08900000000004127,0.08900000000004127
86.0,1,0,2023,United States,30.7,30.62199999999999,0.07800000000001006,0.07800000000001006
74.0,1,0,2017,Australia,31.5,31.516000000000023,-0.016000000000023107,0.016000000000023107
